"Año","Mes","lon","lat","ID Estado","Estado","Ciudad","Precio.promedio"
2017,6,2896383.38241936,533867.521866542,12,"Guerrero","Acapulco de Juárez",17.36375
2017,6,2470407.27670716,1096463.03352441,1,"Aguascalientes","Aguascalientes",17.638125
2017,6,2808354.16207239,820000.070810204,9,"Ciudad de México","Área Metropolitana de la Ciudad de México",17.830625
2017,6,3696713.03075761,917681.049383228,4,"Campeche","Campeche",17.1141666666667
2017,6,2601259.6726517,1917420.95398455,5,"Coahuila de Zaragoza","Ciudad Acuña",14.51
2017,6,2128946.73506821,2134804.33478912,8,"Chihuahua","Ciudad Juárez",14.74875
2017,6,3941497.41072577,793698.708167601,23,"Quintana Roo","Chetumal",17.3625
2017,6,2101738.43984667,1848371.74595512,8,"Chihuahua","Chihuahua",17.79
2017,6,2319645.58177018,805748.229520169,6,"Colima","Colima",17.54125
2017,6,3031934.92607954,775293.184192847,30,"Veracruz de Ignacio de la Llave","Córdoba",17.05625
2017,6,2608204.19945602,941888.331500057,11,"Guanajuato","Cortazar",17.564
2017,6,2791114.5052991,774501.176808203,17,"Morelos","Cuernavaca",17.3764285714286
2017,6,1956210.22758575,1427305.21190799,25,"Sinaloa","Culiacán Rosales",17.6991666666667
2017,6,2231692.26181263,1334963.818951,10,"Durango","Victoria de Durango",17.7408333333333
2017,6,2411182.74425444,1239414.14127632,32,"Zacatecas","Fresnillo",17.6425
2017,6,2361147.86663081,963499.484024917,14,"Jalisco","Guadalajara",18.0647058823529
2017,6,1627957.24036531,1917722.97151725,26,"Sonora","Hermosillo",17.5841666666667
2017,6,1743835.81743211,1661269.80620711,26,"Sonora","Huatabampo",17.692
2017,6,2760622.6918133,708127.162180339,12,"Guerrero","Iguala de la Independencia",17.4725
2017,6,2467343.99741125,883303.938341952,16,"Michoacan de Ocampo","Jacona de Plancarte",17.755
2017,6,2136102.36450172,1657270.01050409,8,"Chihuahua","Jiménez",17.9975
2017,6,1664340.38197233,1293128.47522497,3,"Baja California Sur","La Paz",17.4513333333333
2017,6,2535205.54402173,1012114.65148421,11,"Guanajuato","León de los Aldama",17.5375
2017,6,2947882.28887636,1540622.47741853,28,"Tamaulipas","Matamoros",14.50375
2017,6,3794034.2252253,988808.835233028,31,"Yucatan","Mérida",16.8891666666667
2017,6,1230401.61821548,2343847.18793759,2,"Baja California","Mexicali",17.0875
2017,6,2557245.81149997,1650039.48973007,5,"Coahuila de Zaragoza","Monclova",17.4844444444444
2017,6,2668509.67675272,1514136.17695389,19,"Nuevo León","Ciudad Monterrey",17.894
2017,6,2583419.43164608,855908.907037127,16,"Michoacan de Ocampo","Morelia",17.6283333333333
2017,6,3061130.5415602,576349.308224229,20,"Oaxaca","Oaxaca de Juárez",17.3591666666667
2017,6,2898744.65799284,787955.881391861,21,"Puebla","Puebla",17.2335
2017,6,2665674.3457233,956584.807977641,22,"Queretaro","Santiago de Querétaro",17.48
2017,6,3215395.82108377,734169.337712915,31,"Veracruz de Ignacio de la Llave","San Andrés Tuxtla",17.55
2017,6,2606661.83108613,1124653.85352621,24,"San Luis Potosi","San Luis Potosí",17.4145454545455
2017,6,2920333.59535052,1145769.53902347,28,"Tamaulipas","Tampico",16.9225
2017,6,3552237.02912155,359973.88281355,7,"Chiapas","Tapachula de Córdova y Ordóñez",17.405
2017,6,3223657.2254595,498907.911933251,20,"Oaxaca","Santo Domingo Tehuantepec",17.185
2017,6,2420684.25036975,978427.291168657,14,"Jalisco","Tepatitlán de Morelos",18.066
2017,6,2202349.51711982,1057049.66137212,18,"Nayarit","Tepic",17.7984615384615
2017,6,1086040.24633532,2344505.0789417,2,"Baja California","Tijuana",17.7183333333333
2017,6,2894164.25183292,816749.977672606,29,"Tlaxcala","Tlaxcala de Xicohténcatl",17.2466666666667
2017,6,2746870.05917986,812900.272833679,15,"México","Toluca de Lerdo",17.41
2017,6,2359312.36095972,1500195.40690869,5,"Coahuila de Zaragoza","Torreón",17.5958333333333
2017,6,2878680.20057653,903070.018340528,13,"Hidalgo","Tulancingo",17.25
2017,6,3156089.77095483,737863.131804823,30,"Veracruz de Ignacio de la Llave","Veracruz",16.8541666666667
2017,6,3458492.94141412,697228.698776753,27,"Tabasco","Villahermosa",17.0233333333333
2017,7,2896383.38241936,533867.521866542,12,"Guerrero","Acapulco de Juárez",17.243125
2017,7,2470407.27670716,1096463.03352441,1,"Aguascalientes","Aguascalientes",17.5275
2017,7,2808354.16207239,820000.070810204,9,"Ciudad de México","Área Metropolitana de la Ciudad de México",17.7240625
2017,7,3696713.03075761,917681.049383228,4,"Campeche","Campeche",17.01
2017,7,2601259.6726517,1917420.95398455,5,"Coahuila de Zaragoza","Ciudad Acuña",14.395
2017,7,2128946.73506821,2134804.33478912,8,"Chihuahua","Ciudad Juárez",14.64375
2017,7,3941497.41072577,793698.708167601,23,"Quintana Roo","Chetumal",17.26
2017,7,2101738.43984667,1848371.74595512,8,"Chihuahua","Chihuahua",17.7333333333333
2017,7,2319645.58177018,805748.229520169,6,"Colima","Colima",17.435
2017,7,3031934.92607954,775293.184192847,30,"Veracruz de Ignacio de la Llave","Córdoba",16.94875
2017,7,2608204.19945602,941888.331500057,11,"Guanajuato","Cortazar",17.458
2017,7,2791114.5052991,774501.176808203,17,"Morelos","Cuernavaca",17.2707142857143
2017,7,1956210.22758575,1427305.21190799,25,"Sinaloa","Culiacán Rosales",17.59
2017,7,2231692.26181263,1334963.818951,10,"Durango","Victoria de Durango",17.6058333333333
2017,7,2411182.74425444,1239414.14127632,32,"Zacatecas","Fresnillo",17.495
2017,7,2361147.86663081,963499.484024917,14,"Jalisco","Guadalajara",17.9558823529412
2017,7,1627957.24036531,1917722.97151725,26,"Sonora","Hermosillo",17.5675
2017,7,1743835.81743211,1661269.80620711,26,"Sonora","Huatabampo",17.578
2017,7,2760622.6918133,708127.162180339,12,"Guerrero","Iguala de la Independencia",17.3725
2017,7,2467343.99741125,883303.938341952,16,"Michoacan de Ocampo","Jacona de Plancarte",17.64
2017,7,2136102.36450172,1657270.01050409,8,"Chihuahua","Jiménez",17.93
2017,7,1664340.38197233,1293128.47522497,3,"Baja California Sur","La Paz",17.3486666666667
2017,7,2535205.54402173,1012114.65148421,11,"Guanajuato","León de los Aldama",17.43
2017,7,2947882.28887636,1540622.47741853,28,"Tamaulipas","Matamoros",14.39625
2017,7,3794034.2252253,988808.835233028,31,"Yucatan","Mérida",16.7575
2017,7,1230401.61821548,2343847.18793759,2,"Baja California","Mexicali",17
2017,7,2557245.81149997,1650039.48973007,5,"Coahuila de Zaragoza","Monclova",17.3811111111111
